date,value
31/01/1991,361.72
28/02/1991,354.45
29/03/1991,353.91
30/04/1991,344.34
31/05/1991,338.62
28/06/1991,337.24
31/07/1991,340.8
30/08/1991,352.72
30/09/1991,343.06
31/10/1991,345.43
29/11/1991,344.38
31/12/1991,335.02
31/01/1992,334.8
28/02/1992,329.01
31/03/1992,329.31
30/04/1992,330.08
29/05/1992,342.15
30/06/1992,367.18
31/07/1992,371.89
31/08/1992,392.19
30/09/1992,378.84
30/10/1992,355.27
30/11/1992,364.18
31/12/1992,373.83
29/01/1993,383.3
26/02/1993,386.87
31/03/1993,381.91
30/04/1993,384.13
31/05/1993,377.27
30/06/1993,381.41
30/07/1993,385.64
31/08/1993,385.49
30/09/1993,380.35
29/10/1993,391.57
30/11/1993,389.77
31/12/1993,384.39
31/01/1994,379.29
28/02/1994,378.55
31/03/1994,376.64
29/04/1994,382.12
31/05/1994,391.03
30/06/1994,385.22
29/07/1994,387.56
31/08/1994,386.23
30/09/1994,383.65
31/10/1994,383.05
30/11/1994,383.14
30/12/1994,385.31
31/01/1995,387.44
28/02/1995,399.45
31/03/1995,404.76
28/04/1995,396.21
31/05/1995,392.85
30/06/1995,391.93
31/07/1995,385.27
31/08/1995,383.47
29/09/1995,387.33
31/10/1995,383.18
30/11/1995,381.07
29/12/1995,377.85
31/01/1996,369
29/02/1996,355.1
29/03/1996,346.58
30/04/1996,351.81
31/05/1996,344.47
28/06/1996,343.84
31/07/1996,340.76
30/08/1996,324.1
30/09/1996,324.01
31/10/1996,322.82
29/11/1996,324.87
31/12/1996,306.04
31/01/1997,288.74
28/02/1997,289.1
31/03/1997,297.49
30/04/1997,295.94
30/05/1997,308.28
30/06/1997,299.1
31/07/1997,292.32
29/08/1997,292.87
30/09/1997,284.11
31/10/1997,288.98
28/11/1997,295.93
31/12/1997,294.12
30/01/1998,291.68
27/02/1998,287.12
31/03/1998,287.33
30/04/1998,285.96
29/05/1998,282.62
30/06/1998,276.44
31/07/1998,261.31
31/08/1998,256.08
30/09/1998,256.69
30/10/1998,264.74
30/11/1998,310.72
31/12/1998,293.18
29/01/1999,287.12
26/02/1999,287.33
31/03/1999,285.96
30/04/1999,282.62
31/05/1999,276.44
30/06/1999,261.31
30/07/1999,256.08
31/08/1999,256.69
30/09/1999,264.74
29/10/1999,310.72
30/11/1999,293.18
31/12/1999,283.07
31/01/2000,284.32
29/02/2000,299.86
31/03/2000,286.39
28/04/2000,279.69
31/05/2000,275.19
30/06/2000,285.73
31/07/2000,281.59
31/08/2000,274.47
29/09/2000,273.68
31/10/2000,270
30/11/2000,266.01
29/12/2000,271.45
31/01/2001,265.49
28/02/2001,261.86
30/03/2001,263.03
30/04/2001,260.48
31/05/2001,272.35
29/06/2001,270.23
31/07/2001,267.53
31/08/2001,272.39
28/09/2001,283.42
31/10/2001,283.06
30/11/2001,276.16
31/12/2001,275.85
31/01/2002,281.51
28/02/2002,295.5
29/03/2002,294.05
30/04/2002,302.68
31/05/2002,314.49
28/06/2002,321.18
31/07/2002,313.29
30/08/2002,310.25
30/09/2002,319.14
31/10/2002,316.56
29/11/2002,319.07
31/12/2002,331.92
31/01/2003,356.86
28/02/2003,358.97
31/03/2003,340.55
30/04/2003,328.18
30/05/2003,355.68
30/06/2003,356.35
31/07/2003,351.02
29/08/2003,359.77
30/09/2003,378.95
31/10/2003,378.92
28/11/2003,389.91
31/12/2003,406.95
30/01/2004,413.79
27/02/2004,404.88
31/03/2004,406.67
30/04/2004,403.26
31/05/2004,383.78
30/06/2004,392.37
30/07/2004,398.09
31/08/2004,400.51
30/09/2004,405.28
29/10/2004,420.46
30/11/2004,439.38
31/12/2004,442.08
31/01/2005,424.03
28/02/2005,423.35
31/03/2005,434.32
29/04/2005,429.23
31/05/2005,421.87
30/06/2005,430.66
29/07/2005,424.48
31/08/2005,437.93
30/09/2005,456.05
31/10/2005,469.9
30/11/2005,476.67
30/12/2005,510.1
31/01/2006,549.86
28/02/2006,555
31/03/2006,557.09
28/04/2006,610.65
31/05/2006,675.39
30/06/2006,596.15
31/07/2006,633.71
31/08/2006,632.59
29/09/2006,598.19
31/10/2006,585.78
30/11/2006,627.83
29/12/2006,629.79
31/01/2007,631.17
28/02/2007,664.75
30/03/2007,654.9
30/04/2007,679.37
31/05/2007,666.86
29/06/2007,655.49
31/07/2007,665.3
31/08/2007,665.41
28/09/2007,712.65
31/10/2007,754.6
30/11/2007,806.25
31/12/2007,803.2
31/01/2008,889.6
29/02/2008,922.3
31/03/2008,968.43
30/04/2008,909.7
30/05/2008,888.66
30/06/2008,889.49
31/07/2008,939.77
29/08/2008,839.03
30/09/2008,829.93
31/10/2008,806.62
28/11/2008,760.86
31/12/2008,816.09
30/01/2009,858.69
27/02/2009,943.16
31/03/2009,924.27
30/04/2009,890.2
29/05/2009,928.64
30/06/2009,945.67
31/07/2009,934.23
31/08/2009,949.38
30/09/2009,996.59
30/10/2009,1043.16
30/11/2009,1127.04
31/12/2009,1134.72
29/01/2010,1117.96
26/02/2010,1095.41
31/03/2010,1113.34
30/04/2010,1148.69
31/05/2010,1205.43
30/06/2010,1232.92
30/07/2010,1192.97
31/08/2010,1215.81
30/09/2010,1270.98
29/10/2010,1342.02
30/11/2010,1369.89
31/12/2010,1390.55
31/01/2011,1356.4
28/02/2011,1372.73
31/03/2011,1424.01
29/04/2011,1473.81
31/05/2011,1510.44
30/06/2011,1528.66
29/07/2011,1572.81
31/08/2011,1755.81
30/09/2011,1771.85
31/10/2011,1665.21
30/11/2011,1738.98
30/12/2011,1652.31
31/01/2012,1656.12
29/02/2012,1742.62
30/03/2012,1673.77
30/04/2012,1650.07
31/05/2012,1585.5
29/06/2012,1596.7
31/07/2012,1593.91
31/08/2012,1626.03
28/09/2012,1744.45
31/10/2012,1747.01
30/11/2012,1721.14
31/12/2012,1688.53
31/01/2013,1670.95
28/02/2013,1627.59
29/03/2013,1592.86
30/04/2013,1485.08
31/05/2013,1413.5
28/06/2013,1342.36
31/07/2013,1286.72
30/08/2013,1347.1
30/09/2013,1348.8
31/10/2013,1316.18
29/11/2013,1275.82
31/12/2013,1225.4
31/01/2014,1244.8
28/02/2014,1300.97
31/03/2014,1336.08
30/04/2014,1299
30/05/2014,1287.53
30/06/2014,1279.1
31/07/2014,1310.97
29/08/2014,1295.99
30/09/2014,1238.82
31/10/2014,1222.49
28/11/2014,1176.3
31/12/2014,1202.29
30/01/2015,1251.85
27/02/2015,1227.19
31/03/2015,1178.63
30/04/2015,1197.91
29/05/2015,1199.05
30/06/2015,1181.5
31/07/2015,1130.04
31/08/2015,1117.47
30/09/2015,1124.53
30/10/2015,1159.25
30/11/2015,1085.7
31/12/2015,1068.25
29/01/2016,1097.37
29/02/2016,1199.91
31/03/2016,1246.34
29/04/2016,1242.26
31/05/2016,1259.4
30/06/2016,1276.4
29/07/2016,1337.33
31/08/2016,1341.09
30/09/2016,1326.03
31/10/2016,1266.57
30/11/2016,1235.98
30/12/2016,1151.4
31/01/2017,1192.62
28/02/2017,1234.36
31/03/2017,1231.09
28/04/2017,1265.63
31/05/2017,1245
30/06/2017,1260.26
31/07/2017,1236.22
31/08/2017,1282.32
29/09/2017,1314.98
31/10/2017,1279.51
30/11/2017,1282.28
29/12/2017,1261.26
31/01/2018,1331.67
28/02/2018,1331.53
30/03/2018,1324.66
30/04/2018,1334.74
31/05/2018,1303.03
29/06/2018,1281.57
31/07/2018,1238.53
31/08/2018,1201.25
28/09/2018,1198.47
31/10/2018,1215.39
30/11/2018,1220.95
31/12/2018,1247.92
31/01/2019,1291.75
28/02/2019,1320.07
29/03/2019,1300.9
30/04/2019,1286.45
31/05/2019,1283.95
28/06/2019,1359.04
31/07/2019,1412.98
30/08/2019,1498.8
30/09/2019,1511.31
31/10/2019,1494.8
29/11/2019,1470.02
31/12/2019,1476.04
31/01/2020,1560.67
28/02/2020,1597.1
31/03/2020,1591.93
30/04/2020,1682.93
29/05/2020,1716.38
30/06/2020,1732.22
31/07/2020,1843.31
31/08/2020,1968.56
30/09/2020,1922.21
30/10/2020,1900.28
30/11/2020,1863.49
31/12/2020,1855.96
29/01/2021,1866.99
26/02/2021,1808.18
31/03/2021,1718.23
30/04/2021,1761.68
31/05/2021,1853.22
30/06/2021,1834.57
30/07/2021,1807.09
31/08/2021,1783.97
30/09/2021,1777.25
29/10/2021,1776.85
30/11/2021,1820.23
31/12/2021,1786.65
31/01/2022,1816.77
28/02/2022,1856.3
31/03/2022,1947.83
29/04/2022,1933.9
31/05/2022,1848.3
30/06/2022,1833.83
29/07/2022,1736.37
31/08/2022,1765.65
30/09/2022,1682.97
31/10/2022,1664.45
30/11/2022,1726.45
30/12/2022,1796.74
31/01/2023,1898.63
28/02/2023,1854.54
31/03/2023,1912.73
28/04/2023,2000.42
31/05/2023,1990.22
30/06/2023,1942.9
31/07/2023,1948.85
31/08/2023,1920.03
29/09/2023,1916.96
31/10/2023,1913.04
30/11/2023,1985.27
29/12/2023,2029.29
31/01/2024,2034.04
29/02/2024,2023.24
29/03/2024,2158.01
30/04/2024,2335.49
31/05/2024,2352.14
28/06/2024,2326.33
31/07/2024,2395.31
30/08/2024,2467.97
30/09/2024,2567.12
